CONT,ID,SEGMENT,DENSITY,X,Y,LAT,LONG
94,125,1,5,-0.265301709,0.209850134,0.335670429,-0.05536085
94,125,1,4,-0.265573369,0.209778498,0.335588029,-0.055079687
94,125,1,5,-0.265746931,0.209339314,0.335137153,-0.054914846
94,125,1,6,-0.266103471,0.208973761,0.334754169,-0.054556088
94,125,1,6,-0.266174757,0.208669718,0.334443859,-0.054493058
94,125,1,2,-0.266312792,0.208574083,0.334342039,-0.054352452
94,125,1,5,-0.266248629,0.208293931,0.334060872,-0.054430032
94,125,1,4,-0.265894395,0.207821239,0.333595464,-0.054817859
94,125,1,6,-0.265406315,0.207453889,0.333241531,-0.055341491
94,125,1,5,-0.265057477,0.207086767,0.332882769,-0.055719627
94,125,1,6,-0.264570396,0.206949498,0.332761556,-0.056233519
94,125,1,4,-0.264198297,0.206710951,0.332533699,-0.056631081
94,125,1,6,-0.263384242,0.205847937,0.331690118,-0.057513457
94,125,1,6,-0.263026496,0.205595523,0.331447706,-0.05789645
94,125,1,1,-0.262789436,0.205342612,0.331200446,-0.058153406
94,125,1,0,-0.247445134,0.207750375,0.334172374,-0.074094065
94,125,1,1,-0.221137436,0.212076641,0.339398656,-0.101447258
94,125,1,6,-0.203017696,0.227257962,0.355339334,-0.119957459
94,125,1,5,-0.202802073,0.227528481,0.355620527,-0.12017561
94,125,1,6,-0.202042388,0.228070017,0.356192626,-0.120956165
94,125,1,1,-0.193179993,0.235449993,0.363949625,-0.130041564
94,125,1,6,-0.193027471,0.235450748,0.363954473,-0.130201562
94,125,1,6,-0.192821044,0.235569015,0.364080534,-0.130414885
94,125,1,6,-0.174090003,0.246647009,0.37586636,-0.149792893
94,125,1,4,-0.153533265,0.258590615,0.388568473,-0.171134376
94,125,1,6,-0.13411332,0.269677659,0.40035427,-0.191365661
94,125,1,0,-0.117045031,0.279264222,0.410540235,-0.209201951
94,125,1,1,-0.123886314,0.292537514,0.42415866,-0.201740664
94,125,1,4,-0.132705755,0.295258051,0.426820268,-0.192359538
94,125,1,6,-0.135799941,0.296412505,0.42795958,-0.189062796
94,125,1,2,-0.137717631,0.297237497,0.42877892,-0.187016882
94,125,1,4,-0.141625126,0.295813337,0.427222668,-0.182910525
94,125,1,2,-0.142577781,0.295831882,0.427222668,-0.181902083
94,125,1,1,-0.14533792,0.298034091,0.429452792,-0.178935038
94,125,1,2,-0.145847726,0.300484334,0.431988382,-0.17834358
94,125,1,2,-0.148518475,0.301997553,0.433505844,-0.175483155
94,125,1,6,-0.148567796,0.302497278,0.434024604,-0.175420144
94,125,1,2,-0.148632456,0.310099046,0.441941612,-0.175187418
94,125,1,1,-0.15884694,0.324200848,0.456461771,-0.164031846
94,125,1,5,-0.15892288,0.324692664,0.456975669,-0.163939766
94,125,1,3,-0.158796221,0.325059783,0.457363534,-0.164065793
94,125,1,6,-0.158392306,0.325374568,0.457702904,-0.16448759
94,125,1,4,-0.158297951,0.325515802,0.457853192,-0.164584563
94,125,1,4,-0.158083787,0.326130456,0.458502847,-0.164797885
94,125,1,6,-0.157836652,0.326374617,0.458764646,-0.165054827
94,125,1,3,-0.157249041,0.32674998,0.459171875,-0.16567054
94,125,1,6,-0.157145293,0.327117313,0.459559726,-0.165772342
94,125,1,2,-0.157112928,0.327560046,0.460025157,-0.165796563
94,125,1,2,-0.15094835,0.33003295,0.462759511,-0.172293086
94,125,1,4,-0.150150714,0.332658823,0.465537494,-0.173083332
94,125,1,4,-0.150489401,0.333034533,0.465925339,-0.172714869
94,125,1,1,-0.149863654,0.335743754,0.468790594,-0.173320891
94,125,1,6,-0.150092144,0.335932604,0.468984514,-0.17307364
94,125,1,2,-0.151195044,0.336581456,0.469643865,-0.171885833
94,125,1,4,-0.151640351,0.339037846,0.472223055,-0.171357391
94,125,1,4,-0.152816993,0.342425721,0.475771905,-0.170029006
94,125,1,6,-0.152836164,0.342596014,0.475951301,-0.17000477
94,125,1,5,-0.152741301,0.342993392,0.476373074,-0.17009688
94,125,1,2,-0.152929027,0.34337373,0.476770627,-0.169888415
94,125,1,6,-0.152827781,0.343642381,0.477056681,-0.169990216
94,125,1,6,-0.152519069,0.344035084,0.477478449,-0.170310217
94,125,1,4,-0.152404704,0.344280443,0.477740254,-0.170426538
94,125,1,3,-0.152190503,0.345376785,0.478903802,-0.170630184
94,125,1,6,-0.151885916,0.345796835,0.479354673,-0.170945294
94,125,1,6,-0.151340271,0.346211802,0.47980556,-0.171517389
94,125,1,3,-0.15113878,0.346491779,0.480106121,-0.171725849
94,125,1,6,-0.151145861,0.346588195,0.480207946,-0.171716162
94,125,1,5,-0.151529861,0.347155331,0.480799419,-0.171294375
94,125,1,3,-0.151571959,0.347536527,0.481201819,-0.171241021
94,125,1,5,-0.151408187,0.347753015,0.481434529,-0.171410725
94,125,1,3,-0.150504374,0.348118983,0.481841768,-0.172365803
94,125,1,2,-0.149084282,0.352135386,0.486127521,-0.173791155
94,125,1,6,-0.149133539,0.35239247,0.486399026,-0.173732987
94,125,1,2,-0.151690202,0.358824376,0.493171864,-0.170862885
94,125,1,2,-0.150163847,0.367794084,0.502761488,-0.172293086
94,125,1,6,-0.150118635,0.368660451,0.503687482,-0.17232217
94,125,1,4,-0.150151288,0.370145212,0.505272828,-0.172254296
94,125,1,6,-0.150317839,0.371949092,0.507197523,-0.172036129
94,125,1,1,-0.150564924,0.373581076,0.508938015,-0.171735555
94,125,1,3,-0.151694781,0.378057538,0.513708571,-0.170426567
94,125,1,6,-0.152273102,0.379420943,0.515158168,-0.169776893
94,125,1,6,-0.152726646,0.380248078,0.516035682,-0.169272706
94,125,1,2,-0.153143546,0.38130437,0.517160455,-0.168802427
94,125,1,4,-0.154600336,0.383902209,0.519919034,-0.167183145
94,125,1,6,-0.156099557,0.385953241,0.52209099,-0.165529935
94,125,1,3,-0.156651121,0.38681177,0.523002435,-0.164919065
94,125,1,6,-0.157216611,0.38744079,0.523666639,-0.164298493
94,125,1,5,-0.157655167,0.388075884,0.524340531,-0.163813695
94,125,1,5,-0.158662366,0.3889752,0.525285927,-0.162713172
94,125,1,1,-0.158960607,0.389399986,0.525736788,-0.162383499
94,125,1,0,-0.155123779,0.391127691,0.527690588,-0.166455924
94,125,1,6,-0.159408275,0.409391829,0.547388588,-0.161428406
94,125,1,1,-0.162289153,0.42122909,0.560250695,-0.158044412
94,125,1,1,-0.173573452,0.428380929,0.567813783,-0.145710747
94,125,1,2,-0.174145652,0.43316088,0.573064315,-0.144968977
94,125,1,2,-0.177527528,0.437672721,0.577956103,-0.14120197
94,125,1,5,-0.178190514,0.437575193,0.577830027,-0.140489313
94,125,1,3,-0.178726362,0.437711309,0.577965786,-0.139907547
94,125,1,6,-0.180096539,0.438442506,0.578736626,-0.138409463
94,125,1,4,-0.180989557,0.439021459,0.579352353,-0.137430129
94,125,1,6,-0.181274719,0.439116271,0.5794493,-0.137119834
94,125,1,6,-0.182146218,0.439120882,0.579429913,-0.13617931
94,125,1,4,-0.182472646,0.439181761,0.579488091,-0.135825401
94,125,1,5,-0.182823437,0.439344024,0.579657786,-0.135442403
94,125,1,2,-0.183142351,0.439698146,0.580040784,-0.135088489
94,125,1,6,-0.183266733,0.439929019,0.580292885,-0.134947883
94,125,1,5,-0.183341046,0.44053504,0.580961938,-0.13485093
94,125,1,2,-0.183315367,0.442939911,0.583628399,-0.134812126
94,125,1,3,-0.185932688,0.446766392,0.58780265,-0.131878993
94,125,1,4,-0.18591404,0.447655287,0.588791675,-0.131874164
94,125,1,6,-0.18598806,0.44791435,0.58907772,-0.131786917
94,125,1,4,-0.18643037,0.44850537,0.589722527,-0.131292412
94,125,1,1,-0.186874147,0.450067086,0.591448464,-0.130768814
94,125,1,5,-0.186853762,0.450675728,0.592127174,-0.130773642
94,125,1,5,-0.186422524,0.451730017,0.593314967,-0.131209975
94,125,1,5,-0.186440402,0.452934387,0.594657912,-0.131156669
94,125,1,2,-0.186170634,0.453479004,0.59527361,-0.13143297
94,125,1,4,-0.185319731,0.453956274,0.59583117,-0.132339571
94,125,1,6,-0.185127132,0.454120607,0.596020256,-0.132543217
94,125,1,5,-0.184698764,0.454734519,0.596718364,-0.132989241
94,125,1,3,-0.184343022,0.454968338,0.596989874,-0.13336741
94,125,1,6,-0.183687385,0.455185725,0.597251669,-0.13407039
94,125,1,6,-0.182563199,0.455321749,0.597435907,-0.135282405
94,125,1,2,-0.182132856,0.455497272,0.597644372,-0.135742978
94,125,1,6,-0.181980168,0.455684206,0.597857685,-0.135902961
94,125,1,6,-0.181906229,0.455946851,0.598153427,-0.135975693
94,125,1,4,-0.181421402,0.456857849,0.599186091,-0.136475041
94,125,1,6,-0.181334582,0.457098276,0.599457552,-0.136562351
94,125,1,4,-0.181299649,0.457768877,0.600209038,-0.136581715
94,125,1,2,-0.180883246,0.458286615,0.600800501,-0.137018018
94,125,1,6,-0.180329257,0.458575657,0.601139884,-0.13760951
94,125,1,5,-0.178915661,0.459020493,0.601678009,-0.139126972
94,125,1,5,-0.178043986,0.459478971,0.602216146,-0.140057824
94,125,1,6,-0.177221271,0.459774282,0.60257007,-0.1409402
94,125,1,3,-0.176441196,0.459979849,0.602822169,-0.141778908
94,125,1,5,-0.175946279,0.460430317,0.603340934,-0.142302511
94,125,1,5,-0.175382124,0.460602334,0.603549414,-0.142908533
94,125,1,6,-0.175326822,0.460665803,0.60362212,-0.142966702
94,125,1,6,-0.175288278,0.460958776,0.603951795,-0.143000629
94,125,1,5,-0.175148789,0.461167098,0.604189338,-0.143146077
94,125,1,6,-0.174401232,0.461516061,0.604601436,-0.14394603
94,125,1,1,-0.174304489,0.461626043,0.604727511,-0.144047846
94,125,1,5,-0.174295886,0.461794297,0.604916579,-0.144052708
94,125,1,5,-0.174747501,0.46218973,0.605348053,-0.143553331
94,125,1,3,-0.174716199,0.462370353,0.605551699,-0.143582429
